palabra,frecuencia
si,19406
pues,16702
eh,11260
bueno,10305
españa,8619
decir,8574
va,8084
gobierno,7915
ser,7809
ahora,7501
aquí,7161
partido,6709
claro,6509
gente,6482
creo,6201
bien,6139
vamos,6019
años,5925
puede,5859
entonces,5852
hacer,5748
hace,5207
año,5127
hoy,5092
sánchez,5044
cómo,4900
hecho,4619
así,4613
luego,4564
ver,4525
mismo,4369
menos,4277
parte,4204
ahí,4186
solo,4118
dos,3944
verdad,3928
vez,3901
caso,3837
día,3809
van,3754
dice,3753
tener,3696
cosas,3691
vox,3665
cada,3601
muchas,3584
siempre,3574
momento,3554
poder,3471
personas,3425
tipo,3423
país,3410
mundo,3410
ejemplo,3371
sido,3343
además,3338
presidente,3274
política,3240
digo,3218
mejor,3189
sino,3174
dinero,3168
sé,3132
gracias,3081
manera,3079
inflación,3065
españoles,3046
podemos,2988
popular,2943
final,2808
dicho,2806
pedro,2794
tal,2792
tan,2776
millones,2697
toda,2631
todas,2628
vida,2584
europa,2575
dentro,2568
parece,2514
usted,2507
ley,2504
tiempo,2471
voy,2468
días,2464
socialista,2409
libertad,2348
incluso,2337
economía,2331
después,2294
interés,2294
impuestos,2285
problema,2277
señor,2181
euros,2126
veces,2113
cosa,2110
persona,2108
ustedes,2101
quiero,2092
000,2036
gran,2016
forma,2009
cierto,2009
hombre,1990
quiere,1975
hablar,1968
cuenta,1963
madrid,1953
tipos,1935
países,1908
da,1888
lugar,1884
ir,1880
haber,1879
ningún,1877
saben,1876
cualquier,1871
precio,1869
punto,1851
social,1851
tema,1848
unidos,1846
realmente,1833
decía,1826
elecciones,1824
pasado,1818
pueden,1814
banco,1810
pasa,1803
cataluña,1801
general,1787
nadie,1763
frente,1753
lado,1748
deuda,1744
quién,1736
público,1730
político,1722
aunque,1722
haciendo,1721
primer,1711
bastante,1705
10,1703
diciendo,1693
mucha,1688
realidad,1683
dicen,1669
vale,1662
visto,1661
quieren,1659
fin,1656
precios,1655
cambio,1641
trabajo,1641
mercado,1640
nivel,1637
mayor,1631
tres,1626
pública,1621
sistema,1620
importante,1616
todavía,1612
primera,1589
igual,1569
dar,1557
nuevo,1557
empresas,1544
historia,1539
nacional,1536
medio,1527
hablando,1519
oye,1516
medios,1514
políticas,1498
nunca,1494
tío,1471
tampoco,1468
mal,1468
seguridad,1461
meses,1457
izquierda,1452
primero,1444
valor,1419
seguir,1412
fiscal,1412
sociedad,1403
políticos,1402
situación,1401
ciudadanos,1397
español,1390
supuesto,1389
semana,1385
europea,1378
viene,1378
acuerdo,1371
unas,1349
mujer,1336
empresa,1310
respecto,1307
pagar,1304
través,1300
futuro,1291
cuál,1291
española,1290
sabemos,1289
últimos,1285
mira,1284
central,1278
dólares,1274
llegar,1269
siendo,1266
puedes,1263
sabes,1262
casa,1253
guerra,1248
ciento,1237
europeo,1235
buenas,1235
ninguna,1235
alguna,1230
cuestión,1229
digamos,1217
casi,1217
trump,1215
iba,1213
vas,1193
absolutamente,1189
mayoría,1180
largo,1170
mes,1165
aquellos,1165
grandes,1160
mujeres,1159
hacen,1154
psoe,1148
propio,1146
congreso,1144
argentina,1144
derecho,1143
20,1140
misma,1128
dijo,1119
podría,1116
gasto,1115
alguien,1108
ayer,1107
bitcoin,1105
mínimo,1104
problemas,1103
inmigración,1098
favor,1094
económico,1091
unión,1091
mil,1091
comunicación,1085
juan,1080
sociales,1077
posible,1075
algún,1067
dónde,1064
vivienda,1064
encima,1064
plazo,1061
ello,1060
precisamente,1058
pueda,1058
china,1054
falta,1053
pensiones,1051
100,1049
sabe,1043
familia,1040
demás,1038
datos,1031
sector,1031
viendo,1026
segundo,1020
trabajadores,1017
dado,1010
comunidad,1010
queremos,1006
información,1005
embargo,999
allí,996
resto,994
vídeo,991
programa,986
poner,981
javier,980
salario,977
pregunta,965
pueblo,964
económica,960
peor,960
partir,959
único,958
buenos,956
según,953
hacia,951
partidos,948
30,944
mientras,935
dices,932
corrupción,930
libro,928
nueva,926
mañana,915
sigue,914
último,905
prácticamente,902
puedo,897
población,896
horas,889
grupo,887
impuesto,883
hora,881
debería,878
campaña,874
capacidad,866
segunda,864
comprar,857
puesto,857
evidentemente,855
pp,855
buena,851
siguiente,849
defender,840
petróleo,835
box,832
15,831
parlamento,831
democracia,829
lleva,828
rusia,826
justicia,824
hizo,823
medida,822
gusta,817
real,817
defensa,815
propia,811
básicamente,807
bancos,805
relación,802
gobiernos,801
quizá,800
plan,792
vista,792
debate,789
energía,788
josé,787
trabajar,786
empleo,781
derecha,781
señora,776
diputados,775
idea,774
aún,774
intereses,774
familias,772
media,771
ah,767
50,767
cuatro,766
díaz,766
salir,765
ministro,765
ilegal,765
votar,763
miedo,758
jóvenes,756
subir,756
siquiera,756
razón,754
existe,750
entrar,748
saber,748
simplemente,744
bienvenidos,743
empezar,743
debe,742
ido,741
llegado,740
subida,739
votos,739
oposición,739
ingresos,738
probablemente,737
ideas,734
llama,730
efectivamente,729
queda,728
ve,727
mano,727
activos,725
llega,725
medidas,723
calle,722
duda,722
miley,720
crecimiento,719
pasar,718
universidad,718
mensaje,717
tribunal,716
allá,715
electoral,715
vaya,712
exactamente,709
oro,708
servicios,706
constitución,706
términos,706
principio,706
amigos,706
trata,704
víctor,702
begoña,702
hijos,701
gas,700
seguro,700
modo,699
riesgo,698
inversión,698
internacional,698
luis,696
casos,694
demanda,693
gómez,689
quería,688
cuanto,687
número,686
twitter,684
significa,683
40,683
etcétera,682
dejar,677
cara,674
objetivo,673
especialmente,673
última,668
voto,667
bajo,667
atención,666
12,665
muchísimo,661
galicia,660
personal,658
totalmente,657
amnistía,655
fondo,650
pandemia,649
renta,647
común,643
2022,642
hacerlo,642
feijó,640
oferta,640
sólo,639
vivir,637
pablo,635
ucrania,634
nación,634
crisis,631
vemos,630
serie,629
noche,629
alberto,628
mismos,621
total,621
tras,620
pib,620
constitucional,619
entender,619
agenda,619
acabar,618
venezuela,617
fuerza,617
redes,614
veo,613
habla,612
donald,611
quieres,609
pacto,607
prensa,606
capital,605
cambiar,605
discurso,605
calles,604
pensar,601
solamente,601
proyecto,601
bruselas,600
noticia,600
puedan,599
europeos,598
ciudad,597
crees,594
televisión,594
detrás,594
pesar,593
normal,591
producción,590
instituciones,590
difícil,587
tierra,586
reforma,585
sale,583
actual,581
2021,581
golpe,580
insisto,580
mercados,580
apoyo,580
hombres,579
alemania,579
proceso,576
buen,575
libre,572
derechos,572
judicial,572
semanas,571
moneda,570
intentar,568
respuesta,567
ocurre,565
diario,564
canal,564
públicos,561
grande,556
mayores,555
muchísimas,554
campo,554
francia,553
control,551
consecuencias,550
diferencia,549
única,549
santiago,548
cabeza,548
socialismo,547
montero,546
civil,545
diga,545
juez,545
dando,544
acaba,544
contrario,543
momentos,543
obviamente,542
cultura,542
dije,542
cuentas,540
opinión,540
volver,540
cuáles,540
anterior,539
próximo,539
manos,539
policía,538
violencia,538
dan,537
puntos,536
niños,536
paso,535
directamente,535
empieza,534
industria,534
coste,534
mesa,533
maría,533
hablamos,533
consecuencia,531
valencia,531
activo,530
consejo,529
centrales,528
ramón,528
fuerte,528
tasa,527
ministerio,526
fácil,525
25,524
llevar,524
modelo,523
cree,521
conjunto,521
podía,517
interesante,517
unidad,516
cantidad,516
mentira,515
barcelona,515
dólar,514
vender,514
adelante,514
diría,514
eeuu,513
garcía,511
principal,511
asunto,509
alto,508
palabras,508
dios,508
propiedad,508
patrimonio,502
palabra,502
venir,501
pasando,501
jamás,499
cinco,499
ganar,499
bajar,499
compañía,499
perfectamente,498
resultado,497
poquito,497
productos,497
uso,497
veámoslo,497
alquiler,496
miles,496
cierta,493
centro,493
entiendo,492
liberal,490
demasiado,490
laboral,487
decían,487
mantener,487
padres,487
ves,486
haga,485
explicar,484
vasco,483
electricidad,483
negocio,483
luz,482
vienen,482
trabajando,481
ocasiones,480
decisión,480
venido,480
per,479
camino,475
riqueza,474
servicio,473
llegó,472
financiación,472
privado,472
rey,472
menor,472
crear,471
noches,471
leyes,471
socialistas,471
clase,471
pone,470
igualdad,469
acto,469
padre,469
europeas,468
decirlo,467
siglo,467
repente,465
carlos,464
nombre,463
coldo,462
beneficios,462
efecto,461
hacía,461
educación,459
aquel,459
yolanda,459
estadounidense,459
base,459
mundial,459
utilizar,458
concreto,457
dato,457
2023,456
posición,456
hermano,456
venga,454
inteligencia,454
tarde,453
principios,452
madre,452
corto,452
deja,452
conseguir,452
contar,451
necesita,450
justo,448
perdido,447
entrevista,447
alta,447
israel,446
absoluta,446
francisco,446
grave,446
cuestiones,445
apenas,444
mitad,444
domingo,444
veremos,444
ayuda,444
comisión,444
resulta,443
hacemos,443
gustaría,441
delito,441
preguntas,440
actividad,438
socios,437
recursos,435
ven,434
aranceles,434
régimen,433
supremo,433
pagando,433
baja,432
responsabilidad,432
coche,432
acción,430
reserva,430
inmigrantes,430
propuesta,429
administración,428
julio,427
cuánto,427
complicado,426
depende,425
teoría,424
fundamental,424
sacar,424
orden,423
agua,423
capaz,423
alternativa,422
ministra,422
presidencia,422
viva,422
condiciones,422
conseguido,421
absoluto,421
separatismo,421
alrededor,421
cerca,420
propios,420
2024,419
informe,417
tomar,416
federal,416
especie,415
importantes,415
pocos,415
monetaria,414
peso,413
funciona,413
sumar,413
oportunidad,411
viviendas,409
salarios,409
desarrollo,409
contexto,409
posibilidad,406
siguen,406
altos,406
minutos,406
invertir,405
valores,405
tratar,405
atrás,405
ricos,404
coalición,404
perdón,404
jueces,404
públicas,404
querido,404
2020,403
privada,403
aquello,403
claramente,403
hago,403
calidad,402
cabo,402
marruecos,402
diferentes,401
euro,401
acciones,400
delitos,400
autónomos,399
culpa,398
decimos,398
podido,398
temas,398
necesario,397
verde,397
presidenta,397
iglesias,396
podríamos,396
supone,396
evitar,395
jesús,395
partes,394
hijo,394
próximos,393
bienes,391
pedir,391
resultados,391
gana,390
generar,390
hacienda,390
reales,389
zona,389
evidente,389
papa,389
bildu,387
fíjate,387
fondos,386
paga,386
tantos,386
dejado,385
varios,384
barrios,384
pretende,384
soberanía,384
nuevas,384
subido,383
pasó,382
moncloa,382
quedado,382
generales,381
últimas,381
artificial,381
junto,380
equipo,380
humano,380
respeto,379
entrada,378
decisiones,378
líder,378
particular,377
especial,376
compra,375
actualidad,374
junio,374
sanidad,374
imagen,374
función,374
tercer,373
sitio,373
18,373
presente,372
expresión,372
vuelta,372
decidido,372
fronteras,372
declaración,372
principales,372
red,371
inversores,371
ayuso,370
reducir,370
irpf,370
pequeño,369
mala,368
presupuestos,368
nuevos,368
80,367
época,367
consumo,366
petro,365
di,365
déficit,365
naciones,364
salido,364
incremento,364
quizás,364
90,363
financiero,363
catalanes,363
esperanza,361
ataque,361
2019,361
décadas,360
permite,360
conocido,360
ideología,359
materia,359
aquellas,359
llamado,358
paz,357
comunidades,357
60,355
conocemos,355
recuerdo,355
perspectiva,355
delante,354
escenario,354
inseguridad,354
directo,354
quiera,354
miembros,354
haces,354
votantes,353
república,353
ciudades,352
2030,352
permitir,352
aparte,352
200,352
proteger,352
hablado,352
imposible,352
margen,352
varias,350
hola,350
definitiva,349
iban,349
artículo,349
sucede,348
competencia,348
hechos,348
efectos,348
votado,347
dirección,347
batalla,347
11,346
investigación,345
piensa,345
buscar,345
entorno,345
est,344
montón,343
relaciones,343
declaraciones,343
encontrar,343
necesidad,342
genera,342
viviendo,342
ayudas,342
italia,341
subidas,341
cualquiera,341
malo,341
recordar,341
suerte,340
región,339
trimestre,339
jefe,338
incrementar,337
convertido,337
censura,336
territorio,336
tardes,335
joven,335
global,335
financiera,334
subiendo,334
pobreza,333
defiende,333
fuerzas,332
14,332
aldama,332
cargo,331
producir,331
izquierdas,331
víctimas,331
pagan,331
importa,331
ministros,330
torno,330
papel,329
espera,329
ahorro,329
entra,329
porcentaje,328
núñez,328
sabía,328
señores,327
suficiente,327
error,327
ciertas,327
gestión,327
justamente,326
distintos,326
voz,326
cuidado,326
candidato,326
mejores,326
zapatero,325
conocer,325
llevan,325
gonzález,325
leer,325
causa,324
internacionales,324
ruso,324
extrema,324
fiscales,323
amigo,323
interesa,323
gráfico,322
terminar,322
clave,321
noticias,320
estrategia,320
grupos,320
revolución,319
lucha,319
cripto,319
seguramente,319
menores,319
línea,318
motivo,318
aumento,318
llevado,318
niveles,318
liberales,317
organización,317
marx,317
500,317
llevamos,316
ciudadano,316
caer,316
vive,316
produce,315
lejos,315
publicado,315
san,314
completamente,314
suele,314
meter,314
curioso,313
cuesta,313
oiga,313
primeros,313
nuclear,313
rayo,313
depósitos,313
prosperidad,312
ocasión,312
dama,312
patria,311
oficial,310
cárcel,310
debajo,310
decreto,310
amenaza,309
quieran,309
mejorar,308
finalmente,308
actualmente,308
sabéis,308
enero,308
cultural,308
éxito,308
don,308
financieros,307
70,306
espacio,306
afecta,306
compromiso,305
ocurrido,305
creen,305
alguno,305
intentando,305
pobres,305
chile,304
mensajes,304
aquella,304
libertades,303
cuántos,303
gastos,302
económicas,302
movimiento,302
isabel,301
caída,301
ilegales,301
marcha,301
placer,301
periodistas,301
escuchar,301
formación,300
hicieron,300
confianza,300
distintas,299
humanos,299
pago,299
llegan,299
carrera,299
profesor,299
plaza,298
cero,298
podrían,298
costes,298
llaman,298
juego,298
análisis,298
guardia,298
octubre,297
eurozona,297
bienestar,297
mayo,296
superior,295
podéis,295
enorme,295
muerte,295
cuales,295
acceso,294
pena,294
económicos,294
deberían,294
cambiado,294
llamar,293
millón,292
necesitamos,292
costa,292
director,291
perder,290
únicamente,290
generación,290
ultraderecha,290
normalmente,290
salud,290
compañeros,290
ninguno,289
trabajador,289
recordemos,288
sube,288
existen,288
serio,288
empezó,287
tercera,286
crítica,286
mar,286
andorra,286
super,286
comercio,286
razones,285
ángel,285
separatistas,285
seis,285
edad,285
cuba,285
300,284
reunión,284
ponen,284
masiva,283
controlar,282
andalucía,282
capaces,282
odio,281
ávalos,281
arriba,280
rollo,280
recuperar,280
recibir,280
contenido,279
ámbito,279
máximo,279
españolas,279
agricultores,278
liberalismo,278
supuestamente,278
moral,277
audiencia,277
llamada,276
the,276
debemos,276
recesión,275
presentar,275
evolución,275
febrero,275
pronto,275
institucional,275
león,275
clara,275
esperar,274
extranjeros,274
brutal,274
castilla,274
rodríguez,273
enemigos,272
identidad,272
empezamos,272
esfuerzo,271
24,271
natural,270
conoce,270
entiende,270
marzo,270
negocios,270
cámara,269
iva,269
darle,269
putin,269
demostrado,269
representa,269
liquidez,269
encontramos,269
cabe,269
histórico,268
interior,268
reino,268
vayan,268
autónomas,267
zonas,267
ábalos,267
creación,267
portavoz,267
vi,266
empresarios,266
ganas,266
ciertos,266
referencia,265
muchísimos,265
pensando,265
daño,265
legislatura,265
diciembre,265
finales,265
cotizaciones,265
fiesta,264
independencia,264
vídeos,264
16,264
maduro,264
profesional,264
preocupa,263
clases,263
dispuesto,263
defendiendo,263
siento,261
pnv,261
duro,260
siga,260
figura,259
anunciado,259
empresario,259
21,259
tantas,258
voluntad,258
responsable,258
pasada,258
líderes,258
climático,258
investidura,258
empiezan,257
dio,257
pequeña,257
queridos,257
pueblos,257
relato,257
colombia,257
financiar,256
ay,256
ganado,256
anteriores,256
escrito,256
periodo,256
motivos,255
19,255
méxico,255
comunista,255
objetivos,255
ayudar,254
adquisitivo,254
sede,254
producto,254
contigo,254
comisiones,254
radio,253
sexual,253
mire,253
origen,253
pienso,252
paro,252
mismas,252
utilizando,252
escuchado,251
argumento,251
sucedido,251
salvo,251
victoria,251
gustavo,251
considera,251
habitual,251
puerta,250
hablan,250
opción,250
comercial,250
periodista,249
salió,249
consiguiente,249
juntos,249
tecnología,249
lópez,249
bolsa,248
empecé,248
consciente,248
vergüenza,248
occidente,248
pensión,247
pedido,247
juicio,247
conocimiento,247
valenciana,247
formas,246
hagan,246
feijóo,246
tiempos,245
presión,245
2018,245
das,245
abril,245
capitalismo,245
género,245
sociedades,244
peligro,244
ejército,244
experiencia,243
vivimos,243
transporte,243
vivido,243
casas,242
reservas,242
tráfico,242
vuelto,242
legal,242
concepto,241
fiscalía,241
tanta,241
miguel,240
crecer,240
naturaleza,240
mentiras,240
desgracia,240
aumentar,239
recibido,239
aragón,239
democrática,239
conflicto,239
acceder,239
eta,239
manuel,238
salen,238
peores,238
quedan,238
dijeron,238
luchar,238
literalmente,238
militar,237
cifra,237
busca,237
ojo,237
acuerdos,237
cumplir,237
abajo,236
2025,236
23,236
irán,236
encuestas,236
bloque,236
intervención,236
termina,236
crédito,235
lunes,235
intento,235
marca,235
clientes,235
ipc,235
bajos,234
obra,234
aplicar,234
jorge,234
digital,234
carta,234
operación,233
llevo,233
relevante,233
impacto,233
senado,233
unido,232
implica,232
factura,232
vía,232
repito,232
música,232
construir,232
caja,231
promedio,231
creemos,231
honor,231
convivencia,231
pensamiento,230
sanciones,230
sueldo,230
conscientes,230
secretario,230
vecinos,230
intentado,230
instituto,230
rentabilidad,230
diferente,230
poderes,230
querer,230
cifras,229
sencillo,229
ilusión,228
solución,228
visión,228
viven,228
caballeros,228
rápido,228
toma,227
jornada,227
contrato,227
ataques,227
trama,227
exacto,227
actividades,226
energética,226
inversiones,226
gastar,226
noviembre,226
metido,226
invasión,226
dictadura,226
lista,225
hano,225
creciendo,225
votan,225
pruebas,225
echar,224
merece,224
sectores,224
sirve,224
mascarillas,224
explica,223
fe,223
declarar,223
35,223
chino,223
pactar,223
youtube,223
seres,223
suben,223
cobrar,223
reducción,222
doy,222
móvil,222
regiones,222
empezando,222
vuelve,222
dejan,221
cuarto,221
feminismo,221
foto,221
necesariamente,221
cuándo,220
personaje,220
compañías,220
bulos,220
denunciar,220
aproximadamente,220
espero,219
viernes,219
caído,219
fijo,219
preguntar,219
escándalo,218
sola,218
lugares,218
quedar,218
argentino,218
1000,218
podrá,218
puestos,218
gobernar,217
labor,217
frase,217
dispuestos,217
representación,216
ayuntamiento,216
poniendo,216
responsables,216
tribunales,216
vino,215
internet,215
coches,215
denuncia,215
garantizar,215
perfil,215
imaginemos,214
iglesia,214
terrible,214
pagado,214
doble,214
ignacio,214
amor,214
economías,213
toca,213
histórica,213
niño,213
fútbol,213
2017,213
óscar,213
portugal,212
creer,212
productividad,212
falso,212
cae,212
barrio,211
juns,211
prueba,211
par,211
término,211
recaudación,211
radical,211
importancia,211
17,210
contratos,210
abascal,210
llegue,210
críticas,210
pensionistas,210
malos,210
obligación,210
eliminar,209
protección,209
biden,209
alegría,209
programas,209
ambos,209
ocurrió,209
vais,209
aparece,209
aprobar,209
caro,208
damas,208
bonos,208
humanidad,208
oportunidades,208
estatal,208
fecha,208
deben,207
sur,207
pie,207
pesos,207
traído,207
pérdidas,207
obtener,207
fenómeno,207
perfecto,207
digan,207
siete,207
suelo,206
personalmente,206
