      palabra    Score Ideologia_dominante  Derecha  Derecha moderada  Izquierda  Izquierda moderada
     derechos 0.034403           Izquierda    572.0             580.0     3257.0              1239.0
  bienvenidas 0.033504           Izquierda      0.0               0.0      604.0                67.0
     veámoslo 0.033264             Derecha    497.0               0.0        0.0                 0.0
      derecha 0.030981           Izquierda    781.0             434.0     2912.0              1244.0
           si 0.029839             Derecha  19406.0           12878.0    12724.0             10163.0
          vox 0.024478             Derecha   3665.0             506.0     1637.0               512.0
        canal 0.024326           Izquierda    564.0             182.0      954.0               300.0
      podemos 0.022574           Izquierda   2988.0            1887.0     5295.0              1920.0
    genocidio 0.022304           Izquierda     63.0              20.0      950.0                22.0
        gente 0.020626             Derecha   6482.0            3259.0     5667.0              3040.0
   compañeras 0.020617           Izquierda     52.0             160.0     1123.0               972.0
         onda 0.020586  Izquierda moderada     24.0              27.0       27.0               638.0
        decir 0.020495             Derecha   8574.0            6039.0     5993.0              3986.0
      tablero 0.019630           Izquierda     29.0              24.0      848.0                27.0
      gracias 0.018996           Izquierda   3081.0            4432.0     6022.0              4640.0
        todas 0.018976           Izquierda   2628.0            2937.0     5203.0              3317.0
    palestina 0.018467           Izquierda     74.0              32.0      959.0                76.0
   acompañaré 0.017710           Izquierda      0.0               0.0      230.0                 0.0
         tipo 0.016877             Derecha   3423.0            1631.0     2077.0              1132.0
        claro 0.016773             Derecha   6509.0            4104.0     3559.0              2878.0
         país 0.016731           Izquierda   3410.0            4532.0     6427.0              5169.0
    violencia 0.016636           Izquierda    538.0             358.0     1960.0               709.0
   ciudadanía 0.016584           Izquierda    164.0             201.0     1004.0               649.0
     sociales 0.016547           Izquierda   1077.0             576.0     1948.0               970.0
       israel 0.016518           Izquierda    446.0             311.0     2173.0               184.0
   periodista 0.016387           Izquierda    249.0             243.0      877.0               140.0
          red 0.016385           Izquierda    371.0             250.0      975.0               250.0
     política 0.016320           Izquierda   3240.0            3413.0     4712.0              2749.0
       social 0.016258           Izquierda   1851.0             982.0     2577.0              1866.0
      popular 0.016248    Derecha moderada   2943.0            4961.0     4574.0              2572.0
      mujeres 0.016230           Izquierda   1159.0             903.0     3302.0              1723.0
          hoy 0.015231           Izquierda   5092.0            6670.0     7789.0              7056.0
        ayuso 0.015054           Izquierda    370.0             216.0     1448.0               248.0
       dinero 0.015048             Derecha   3168.0            1552.0     1348.0               623.0
         creo 0.014814           Izquierda   6201.0            5203.0     8928.0              5388.0
          ley 0.014693           Izquierda   2504.0            2067.0     4319.0              1800.0
     personas 0.014650           Izquierda   3425.0            2627.0     5021.0              3098.0
