Video           Adivinacion Realidad            Comentario explicativo
jy0qceqnLtI     DM          IM-Vanguardia       (Rueda de prensa Feijo)
UM_3PD2V7IM     DM          DM-PP               (Mitin del pp)
rV8IKCKQico     I           D-WallStreet        (Entrevista con dj)
e5-m6YvOXPo     IM          I-eldiaroes         (Declarancion de Yolanda investidura)
PhCvhMgJ_WU     DM          DM-PP               (Mitin de Feijo Galicia)
PevrCatZRp0     I           I-canalred          (Programa de cataluña) Dice bienvenidos canalred pero rapidamente refiere a fascismo y demas
4czRVC719zE     IM o DM     DM-elconfidencial   (extranccion de liteo, paises reservas, etc)
9SvwqnQu6EM     IM          DM-elmundo          (Resumen benidorm fest)
aHb8Yqdt7ro     I           D-okdiario          (Le pen en francia inhabilitada por desvio de fondos)
kdib6jH7q7Y     I           I-publico           (informe de la semana) Inicia con informe publico pero despues trata despectivamente a politico del pp
iFgfUZY9vuY     I           IM-elPlural         (intervencio de mar Lucas)
nqjsTJUyEjs                 DM-elmundo          (Video del momento grabado con movil de La Policía peruana se disfraza de capibara para detener a un traficante de droga)
2-5oABqr-Ao     DM          IM-elPlural         (habla sobre la ropa de la reina en un acto)
F2fXvk3Mgp8     D           IM-lavanguardia     (intervencion de Sole Parellada sobre gestionar algo)
70bVuDQjzT8     DM ?????    DM-elconfidencial   (habla sobre stephen hawking)
F6nb6mWKh-Y     IM          IM-Psoe             (intervencio Pedro Sanchez)
jVVOYjruk1o     D           DM-libertadDigital  (Carlos Cuesta habla de las corruptelas socialistas)
h09ZVEJNcFw     D           D-ViOne             (Inicio entrevista, empezando con el libro del entrevistado y la parte de como escribe el escritor)
QawtQyHOrXg     DM          D-okdiario          (noticia sobre los reyes yendo a un municipio)
